key,name,measures,unit,why,location,output,supply_v,current_ma,supply_rail,connector,conductors,signal_bandwidth_hz,sample_rate_hz,antialias_cutoff_hz,adc_bits,range_min_eu,range_max_eu,accuracy_eu,resolution_needed_eu,logged_to,payload_bytes,calibration,galvanic_isolation,owner,source,is_estimate,completeness,affects
motor_temp,Motor stator temperature,stator winding temperature,degC,"derate before the magnets are damaged; the thermal limit is what actually caps a long run, not the peak torque number",motor,rtd,5.0,5.0,5V,AMP Superseal 2-way,2,0.5,10.0,2.0,12,-20.0,200.0,1.0,1.0,logger,2,"ice bath + boiling water, 2-point, before each event",,R. Okafor,TE NTC 44006 datasheet,False,1.0,powertrain electrics cooling dataacq
inverter_temp,Inverter / IGBT temperature,power stage temperature,degC,the inverter derates on this; logging it explains torque loss that otherwise looks like a driver or a grip problem,inverter,can,,,,existing CAN,0,1.0,10.0,,,-40.0,150.0,2.0,1.0,logger,2,cross-check the broadcast value against a surface probe on the heatsink during a cool-down,,R. Okafor,PM100DX CAN protocol rev 5,False,1.0,powertrain electrics dataacq
coolant_temp_in,Coolant temperature — radiator inlet,coolant temperature entering the radiator,degC,"with the outlet probe and the flow meter, gives measured heat rejection instead of a spreadsheet estimate",coolant_loop,analog_voltage,5.0,2.0,5V,Deutsch DTM 2-way,3,0.5,200.0,5.0,12,-10.0,120.0,1.0,0.5,logger,2,2-point against a reference RTD at 20 C and 60 C,,P. Lindqvist,PT1000 class A,False,1.0,cooling powertrain dataacq electrics
coolant_temp_out,Coolant temperature — radiator outlet,coolant temperature leaving the radiator,degC,the other half of the delta-T that sizes the radiator,coolant_loop,analog_voltage,5.0,2.0,5V,Deutsch DTM 2-way,3,0.5,5.0,2.0,12,-10.0,120.0,1.0,0.5,logger,2,2-point against a reference RTD at 20 C and 60 C,,P. Lindqvist,PT1000 class A,False,1.0,cooling powertrain dataacq electrics
coolant_flow,Coolant flow rate,volumetric coolant flow,L/min,turns the delta-T into kilowatts; without it the temperature pair measures a difference of unknown significance,coolant_loop,pulse,5.0,10.0,5V,Deutsch DTM 3-way,3,2.0,20.0,5.0,12,0.0,30.0,0.9,0.5,logger,2,"gravimetric, 3 flow points, bucket and scale",,P. Lindqvist,Gems FT-110,False,1.0,cooling powertrain dataacq electrics
damper_pot_fl,"Damper position, front left",damper shaft displacement,mm,damper velocity histogram; sets the low-speed knee we actually run at Michigan,damper,analog_voltage,5.0,12.0,5V,Deutsch DTM 3-way,3,30.0,50.0,,12,0.0,75.0,0.2,0.1,logger,2,"dial gauge against the pot at 10 mm steps, both directions, check hysteresis",True,M. Haddad,Penny+Giles SLS095/75,False,1.0,suspension dataacq electrics
steer_angle,Steering angle,steering wheel angle,deg,separates driver input from yaw response when a corner goes wrong on the data,steering,analog_voltage,5.0,15.0,5V,Deutsch DTM 3-way,3,8.0,100.0,20.0,12,-120.0,120.0,0.5,0.25,logger,2,"centre with the rack at mid-travel, then lock-to-lock against a protractor on the hub",True,M. Haddad,Bourns 6639S-1-103,False,1.0,chassis suspension dataacq electrics
wheel_speed_fl,Wheel speed FL,wheel rotational speed,rad/s,"slip ratio for the traction controller, and the only honest check that a corner locked under braking",wheel,pulse,12.0,20.0,12V,Deutsch DTM 3-way,3,80.0,200.0,90.0,12,0.0,250.0,0.5,0.25,logger,2,rolling road at three known speeds; confirm the tooth count in firmware matches the ring,True,M. Haddad,Honeywell VG481V1,False,1.0,suspension brakes dataacq electrics
wheel_speed_fr,Wheel speed FR,wheel rotational speed,rad/s,"slip ratio for the traction controller, and the only honest check that a corner locked under braking",wheel,pulse,12.0,20.0,12V,Deutsch DTM 3-way,3,80.0,200.0,90.0,12,0.0,250.0,0.5,0.25,logger,2,rolling road at three known speeds; confirm the tooth count in firmware matches the ring,True,M. Haddad,Honeywell VG481V1,False,1.0,suspension brakes dataacq electrics
wheel_speed_rl,Wheel speed RL,wheel rotational speed,rad/s,"slip ratio for the traction controller, and the only honest check that a corner locked under braking",wheel,pulse,12.0,20.0,12V,Deutsch DTM 3-way,3,80.0,200.0,90.0,12,0.0,250.0,0.5,0.25,logger,2,rolling road at three known speeds; confirm the tooth count in firmware matches the ring,True,S. Varga,Honeywell VG481V1,False,1.0,suspension brakes dataacq electrics
